trip_id;trip_line;destination;destination_id;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Aulnay-sous-Bois;IDFM:72646;88760.0;Sevran - Livry;IDFM:73439;88930.0;170.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Sevran - Livry;IDFM:73439;88960.0;Vert Galant;IDFM:73482;89110.0;150.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Vert Galant;IDFM:73482;89140.0;Villeparisis - Mitry-le-Neuf;IDFM:68916;89300.0;160.0
IDFM:TN:SNCF:0635e5d8-2e7a-4921-a6fc-2ba5f0070d37;IDFM:C01743;Mitry - Claye;IDFM:69065;Villeparisis - Mitry-le-Neuf;IDFM:68916;89330.0;Mitry - Claye;IDFM:69065;89610.0;280.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Saint-Rémy-lès-Chevreuse;IDFM:62978;79559.0;Courcelle-sur-Yvette;IDFM:62951;79704.0;145.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Courcelle-sur-Yvette;IDFM:62951;79729.0;Gif-sur-Yvette;IDFM:62890;79886.0;157.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Gif-sur-Yvette;IDFM:62890;79911.0;La Hacquinière;IDFM:62825;79995.0;84.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;La Hacquinière;IDFM:62825;80015.0;Bures-sur-Yvette;IDFM:62851;80097.0;82.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Bures-sur-Yvette;IDFM:62851;80117.0;Orsay Ville;IDFM:62892;80216.0;99.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Orsay Ville;IDFM:62892;80256.0;Le Guichet;IDFM:63025;80359.0;103.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Le Guichet;IDFM:63025;80379.0;Lozère;IDFM:63029;80476.0;97.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Lozère;IDFM:63029;80496.0;Palaiseau - Villebon;IDFM:63067;80620.0;124.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Palaiseau - Villebon;IDFM:63067;80650.0;Palaiseau;IDFM:63175;80731.0;81.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Palaiseau;IDFM:63175;80761.0;Massy - Palaiseau;IDFM:63244;80863.0;102.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Massy - Palaiseau;IDFM:63244;80913.0;Massy - Verrières;IDFM:63320;81018.0;105.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Massy - Verrières;IDFM:63320;81038.0;Les Baconnets;IDFM:69622;81126.0;88.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Les Baconnets;IDFM:69622;81146.0;Fontaine Michalon;IDFM:69647;81211.0;65.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Fontaine Michalon;IDFM:69647;81231.0;Antony;IDFM:69759;81327.0;96.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Antony;IDFM:69759;81367.0;La Croix de Berny;IDFM:69813;81438.0;71.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;La Croix de Berny;IDFM:69813;81463.0;Parc de Sceaux;IDFM:69906;81541.0;78.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Parc de Sceaux;IDFM:69906;81561.0;Bourg-la-Reine;IDFM:70033;81650.0;89.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Bourg-la-Reine;IDFM:70033;81680.0;Cité Universitaire;IDFM:70623;81986.0;306.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Cité Universitaire;IDFM:70623;82016.0;Denfert-Rochereau;IDFM:71056;82126.0;110.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Denfert-Rochereau;IDFM:71056;82166.0;Luxembourg;IDFM:71161;82283.0;117.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Luxembourg;IDFM:71161;82313.0;Saint-Michel Notre-Dame;IDFM:73620;82409.0;96.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Saint-Michel Notre-Dame;IDFM:73620;82449.0;Châtelet les Halles;IDFM:474151;82529.0;80.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Châtelet les Halles;IDFM:474151;82560.0;Gare du Nord;IDFM:71410;82740.0;180.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;Gare du Nord;IDFM:71410;82800.0;La Plaine Stade de France;IDFM:72211;83060.0;260.0
IDFM:TN:SNCF:12687032-0ea1-4aef-aa69-b9fbcb3075e4;IDFM:C01743;Aéroport Charles de Gaulle 2 (Terminal 2);IDFM:73699;La Plaine Stade de France;IDFM:72211;83110.0;La Courneuve - Aubervilliers;IDFM:72598;83220.0;110.0
