trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Drancy,IDFM:72652,86310.0,Le Blanc-Mesnil,IDFM:72648,86410.0,100.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Blanc-Mesnil,IDFM:72648,86440.0,Aulnay-sous-Bois,IDFM:72646,86540.0,100.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aulnay-sous-Bois,IDFM:72646,86590.0,Sevran Beaudottes,IDFM:73491,86750.0,160.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sevran Beaudottes,IDFM:73491,86780.0,Villepinte,IDFM:73547,86890.0,110.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Villepinte,IDFM:73547,86920.0,Parc des Expositions,IDFM:73568,87010.0,90.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Parc des Expositions,IDFM:73568,87060.0,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,87350.0,290.0,1.0
IDFM:TN:SNCF:86f7bf07-b0d1-4298-88b2-b7f9db4913cc,IDFM:C01743,EAST,EAZO17,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,87410.0,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,87560.0,150.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Denfert-Rochereau,IDFM:71056,83053.0,Luxembourg,IDFM:71161,83184.0,131.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Luxembourg,IDFM:71161,83217.0,Saint-Michel Notre-Dame,IDFM:73620,83313.0,96.0,1.0
IDFM:TN:SNCF:b0eb466e-ab9d-4acf-a92d-495b2c75db08,IDFM:C01743,EAST,EAZO09,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Saint-Michel Notre-Dame,IDFM:73620,83349.0,Châtelet les Halles,IDFM:474151,83429.0,80.0,1.0
