,trip_id,trip_line,trip_headsign,trip_short_name,destination,destination_id,origin,origin_id,time_departure,arrival,arrival_id,time_arrival,time_travelled,direction
30,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Bourget,IDFM:72641,82190.0,Drancy,IDFM:72652,82320.0,130.0,1.0
31,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Drancy,IDFM:72652,82350.0,Le Blanc-Mesnil,IDFM:72648,82450.0,100.0,1.0
32,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Le Blanc-Mesnil,IDFM:72648,82480.0,Aulnay-sous-Bois,IDFM:72646,82580.0,100.0,1.0
33,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aulnay-sous-Bois,IDFM:72646,82630.0,Sevran Beaudottes,IDFM:73491,82830.0,200.0,1.0
34,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sevran Beaudottes,IDFM:73491,82860.0,Villepinte,IDFM:73547,83010.0,150.0,1.0
35,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Villepinte,IDFM:73547,83040.0,Parc des Expositions,IDFM:73568,83150.0,110.0,1.0
36,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Parc des Expositions,IDFM:73568,83200.0,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,83570.0,370.0,1.0
37,IDFM:TN:SNCF:7f142b9c-bd3e-4d93-b591-e49a66a22369,IDFM:C01743,ELMA,ELIR99,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,83630.0,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,83780.0,150.0,1.0
38,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Robinson,IDFM:427230,18092.0,Fontenay-aux-Roses,IDFM:70133,18186.0,94.0,1.0
39,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Fontenay-aux-Roses,IDFM:70133,18211.0,Sceaux,IDFM:74265,18285.0,74.0,1.0
40,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Sceaux,IDFM:74265,18309.0,Bourg-la-Reine,IDFM:70033,18397.0,88.0,1.0
41,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Bourg-la-Reine,IDFM:70033,18429.0,Bagneux,IDFM:70210,18554.0,125.0,1.0
42,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Bagneux,IDFM:70210,18579.0,Arcueil - Cachan,IDFM:70263,18650.0,71.0,1.0
43,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Arcueil - Cachan,IDFM:70263,18674.0,Laplace,IDFM:70427,18768.0,94.0,1.0
44,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Laplace,IDFM:70427,18794.0,Gentilly,IDFM:70543,18870.0,76.0,1.0
45,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gentilly,IDFM:70543,18894.0,Cité Universitaire,IDFM:70623,18960.0,66.0,1.0
46,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Cité Universitaire,IDFM:70623,18992.0,Denfert-Rochereau,IDFM:71056,19102.0,110.0,1.0
47,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Denfert-Rochereau,IDFM:71056,19154.0,Luxembourg,IDFM:71161,19274.0,120.0,1.0
48,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Luxembourg,IDFM:71161,19312.0,Saint-Michel Notre-Dame,IDFM:73620,19408.0,96.0,1.0
49,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Saint-Michel Notre-Dame,IDFM:73620,19449.0,Châtelet les Halles,IDFM:474151,19529.0,80.0,1.0
50,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Châtelet les Halles,IDFM:474151,19560.0,Gare du Nord,IDFM:71410,19740.0,180.0,1.0
51,IDFM:TN:SNCF:be5ca0c4-0be6-4e56-822c-adc79e27fb25,IDFM:C01743,ELMA,ELET05,Aéroport Charles de Gaulle 2 (Terminal 2),IDFM:73699,Gare du Nord,IDFM:71410,19800.0,La Plaine Stade de France,IDFM:72211,20060.0,260.0,1.0
